CIRCLE
posix_time: time in seconds since the 1970 epoch.
x_mocap: x position in m from the ASTA mocap frame.
y_mocap: y position in m from the ASTA mocap frame.
z_mocap: z position in m from the ASTA mocap frame.
qx_mocap: quaternion i component from the ASTA mocap frame.
qy_mocap: quaternion j component from the ASTA mocap frame.
qz_mocap: quaternion k component from the ASTA mocap frame.
qw_mocap: quaternion scalar component from the ASTA mocap frame.
ax: x dir body-fixed acceleration in m/s/s measured by IMU.
ay: y dir body-fixed acceleration in m/s/s measured by IMU.
az: z dir body-fixed acceleration in m/s/s measured by IMU.
wx: angular velocity in rad/s around body-fixed x axis measured by IMU.
wy: angular velocity in rad/s around body-fixed y axis measured by IMU.
wz: angular velocity in rad/s around body-fixed z axis measured by IMU.
ax_c: x dir gravity compensated acceleration in m/s/s measured by IMU.
ay_c: y dir gravity compensated acceleration in m/s/s measured by IMU.
az_c: z dir gravity compensated acceleration in m/s/s measured by IMU.
qx: quaternion i component from the NED frame to body fixed frame measured by IMU.
qy: quaternion j component from the NED frame to body fixed frame measured by IMU.
qz: quaternion k component from the NED frame to body fixed frame measured by IMU.
qw: quaternion scalar component from the NED frame to body fixed frame measured by IMU.
pwm0: Motor pulse width modulation for motor0 in microseconds.
pwm1: Motor pulse width modulation for motor1 in microseconds.
pwm2: Motor pulse width modulation for motor2 in microseconds.
pwm3: Motor pulse width modulation for motor3 in microseconds.
pwm4: Motor pulse width modulation for motor4 in microseconds.
pwm5: Motor pulse width modulation for motor5 in microseconds.
N0: Motor thrust in N for motor0.
N1: Motor thrust in N for motor1.
N2: Motor thrust in N for motor2.
N3: Motor thrust in N for motor3.
N4: Motor thrust in N for motor4.
N5: Motor thrust in N for motor5.
Fx: Body fixed surge force (N).
Fy: Body fixed sway force (N).
Fz: Body fixed heart force (N).
Mx: Body fixed roll moment (Nm).
My: Body fixed pitch moment (Nm).
Mz: Body fixed yaw moment (Nm).
posix,x_mocap,y_mocap,z_mocap,qx_mocap,qy_mocap,qz_mocap,qw_mocap,ax,ay,az,wx,wy,wz,ax_c,ay_c,az_c,qx,qy,qz,qw,pwm0,pwm1,pwm2,pwm3,pwm4,pwm5,N0,N1,N2,N3,N4,N5,Fx,Fy,Fz,Mx,My,Mz
1645468314.6068096,2.6243772528429017,-2.0854266210324126,0.004578810618742967,0.014454342859869226,-0.01397095600804962,0.033286332577298995,-0.9992436661917172,-0.9690943703152659,0.7707040148423684,9.722904860945798,-0.020284171087065383,-0.009561024912794638,0.11459182190609764,-0.43761100903681904,1.1405428931351316,-0.062335469425134245,0.03298491090072596,-0.00175652768457869,-0.7888117845975623,0.6137465916348324,1483.7115394682364,1483.7115394682364,1472.4294868439213,1475.5705131560787,1456.0,1512.0,-0.6831286807230862,-0.6831286807230862,-1.2145305502560388,-1.066288925389531,-2.0010316064835934,0.6705404961030581,-1.3662573614461724,-0.6705404961030581,-4.2818510821291635,-0.10029679995838675,0.04896287710334589,0.033527024805152905
1645468314.7068095,2.6238614633538453,-2.084988291274846,0.004721932944326143,0.014382579394734153,-0.013700912089834275,0.03371713074680965,-0.9992339973760217,-0.9368199200443209,0.7574169357459448,9.69877685,-0.018954624485430845,-0.010863225017608627,0.11800368235935996,-0.4238938147481532,1.1133531230347393,-0.08796665939489601,0.03179075053978146,-0.0019006486251378187,-0.7856322648049022,0.6178735147361807,1480.7518554454575,1480.7518554454575,1472.5839518151524,1475.8320963696951,1456.0,1512.0,-0.8223676027584401,-0.8223676027584401,-1.207230904493557,-1.0539703188974447,-2.0010316064835934,0.6705404961030581,-1.6447352055168802,-0.6705404961030581,-4.262232829874595,-0.09971961947448225,0.045529682958796454,0.033527024805152905
1645468314.8068094,2.623345673864789,-2.0845499615172796,0.00486505526990932,0.014310812136132469,-0.013430864557944974,0.03414792002328336,-0.9992240650081011,-0.8998263565132029,0.727547401628302,9.72289577116791,-0.019672629323960033,-0.01658168263836308,0.1199814728116751,-0.4068443437899517,1.0659230357414236,-0.06550175454310493,0.030425724660647285,-0.002138999848685442,-0.7823621866742995,0.6220764493378049,1477.7738522290751,1477.7738522290751,1472.4087159236417,1475.7738522290751,1455.1825681527168,1512.0,-0.9625176104420239,-0.9625176104420239,-1.2155121343588493,-1.0567351412365837,-2.0409505600439397,0.6705404961030581,-1.9250352208840478,-0.6705404961030581,-4.3131978356393725,-0.09908523260897462,0.040476925221511306,0.033527024805152905
1645468314.9068093,2.6228298843757325,-2.084111631759713,0.0050081775954924955,0.014239041102993098,-0.013160813483607911,0.034578700293097654,-0.9992138690905752,-0.9310965147323318,0.734428279464665,9.825192829464665,-0.027802692113611315,-0.014705841085494727,0.11139963645563473,-0.46028162511570847,1.0631012948422516,0.035368038503161885,0.029221422442859794,-0.0019739653096140985,-0.7791829375801781,0.6261119402433536,1475.1455987212387,1475.1455987212387,1472.5727993606195,1474.4272006393805,1453.5727993606195,1512.0,-1.086333811799499,-1.086333811799499,-1.2077579428688276,-1.120203617572579,-2.119650067668397,0.6705404961030581,-2.172667623598998,-0.6705404961030581,-4.4476116281098035,-0.10727583940896657,0.036454511235276675,0.033527024805152905
1645468315.0068092,2.622314094886676,-2.0836733020021465,0.005151299921075672,0.014167266314245955,-0.012890758938050207,0.03500947144263238,-0.9992034096261331,-0.9093463708868482,0.6959752523207622,9.787927393037718,-0.017478933445217153,-0.022253705479482515,0.10459263949798878,-0.45988589867911694,1.005297313673662,-0.003531670704097116,0.027742723184233268,-0.0021935831250896117,-0.7762158045952484,0.6298528035977512,1473.1363471971067,1473.1363471971067,1472.4318264014466,1475.4318264014466,1452.5681735985534,1512.0,-1.181151259278308,-1.181151259278308,-1.214419988352969,-1.072826523635173,-2.168976842126631,0.6705404961030581,-2.362302518556616,-0.6705404961030581,-4.456223354114773,-0.10106133837548863,0.020697192225764445,0.03352702480515291
1645468315.1068091,2.6215344402804757,-2.0809717701642807,0.005798386858566914,0.013583710867143663,-0.012902282187880443,0.03825553368157353,-0.9990923521157392,-0.8233052217908622,0.6857854326862945,9.815323204477155,-0.013341347420162429,-0.020366032970876087,0.09302511792879692,-0.38902324811568156,0.9749973838913281,0.022564763499406476,0.026483211153323784,-0.002617985310831354,-0.7734810558266438,0.6332604850748396,1471.646448395456,1471.646448395456,1473.0,1475.646448395456,1451.646448395456,1512.0,-1.251552546584652,-1.251552546584652,-1.187569460573286,-1.0627093904220297,-2.2143600185718135,0.6705404961030581,-2.503105093169304,-0.6705404961030581,-4.464638869567129,-0.10298567875064069,0.006285795674112919,0.03352702480515291
1645468315.206809,2.621834492732946,-2.078463052554861,0.0065769199049806205,0.012135732229073931,-0.01407973222185893,0.0400483240689863,-0.9990248329661733,-0.8070730047820125,0.66143710717302,9.774742661955031,-0.014150429339787308,-0.020240039099379926,0.07104876653733214,-0.3918546037044468,0.9333070725429291,-0.019334178896557818,0.025161074244872135,-0.002765203420937917,-0.7715028223976772,0.6357221633900322,1471.0,1471.0,1472.820256074201,1475.179743925799,1450.820256074201,1512.0,-1.2821340949230944,-1.2821340949230944,-1.196063729376312,-1.0847095181931055,-2.255141623027664,0.6705404961030581,-2.5642681898461888,-0.6705404961030581,-4.5359148705970815,-0.10453885253196643,0.0044855342948068025,0.0335270248051529
1645468315.306809,2.6219161146382706,-2.0773468186929147,0.007099603705436147,0.011586301210092392,-0.014157467128644238,0.04039282947561315,-0.9990163877913738,-0.7926578532209234,0.6800204435581544,9.773167123389538,-0.01047703021730953,-0.015766961288177717,0.05695474548780106,-0.39351187422470696,0.9336162371898391,-0.022060291373455373,0.023927843644272005,-0.0030188311928599637,-0.7700308041198862,0.6375507083073829,1470.9751643219274,1470.9751643219274,1472.0248356780726,1476.0,1449.9503286438546,1512.0,-1.283310347577063,-1.283310347577063,-1.2336533982682685,-1.046043210903008,-2.298197171699257,0.6705404961030581,-2.566620695154126,-0.6705404961030581,-4.577893780870533,-0.09576941527103022,-0.003237598442396605,0.0335270248051529
1645468315.4068089,2.622681878250258,-2.0756743350346016,0.007394505124437479,0.011767927720127197,-0.015089658749336984,0.04105050073716156,-0.998973810700376,-0.784532,0.6879511200043581,9.814674684980394,-0.0075294828760675055,-0.01689158472815239,0.0392472776601331,-0.3985561601387952,0.9225422507757524,0.018437851487462797,0.022786097386856292,-0.0033770444181377176,-0.7689550465113995,0.638887725489797,1470.1500036395757,1470.1500036395757,1472.8499963604243,1476.0,1448.3000072791515,1512.0,-1.322391118382995,-1.322391118382995,-1.1946582744529484,-1.046043210903008,-2.3802461440799316,0.6705404961030581,-2.64478223676599,-0.6705404961030581,-4.6209476294358875,-0.10025385450979202,-0.024420315276695657,0.0335270248051529
1645468315.5068088,2.6227790528492614,-2.075471643488944,0.007429874157435661,0.011716298037749059,-0.015170711758497945,0.04113763272084913,-0.9989696056633334,-0.7592330705027802,0.6808753382495379,9.831757994003707,-0.014539600757320869,-0.020401831469677143,0.01716673257832959,-0.38912165866913595,0.8985804404549287,0.034522258961852764,0.02161073299986562,-0.0035365742257453315,-0.7685598339551535,0.6394030422924036,1470.8270027857302,1470.8270027857302,1472.1729972142698,1475.1729972142698,1448.0,1512.8270027857302,-1.2903274863746579,-1.2903274863746579,-1.2266516377963395,-1.0850275535352218,-2.395161595995887,0.7114034828695825,-2.5806549727493158,-0.7114034828695825,-4.706840787327448,-0.10820883981214843,-0.014609420816257036,0.03557017414347913
1645468315.6068087,2.6228762274482653,-2.0752689519432868,0.007465243190433844,0.011664668158011296,-0.015251764512110097,0.04122476401157825,-0.9989653837987682,-0.7172488844000916,0.6864655000000013,9.799701523399863,-0.017780809573434878,-0.017778908031928727,0.006125611305421207,-0.3700083311874788,0.8919544392428972,0.001363183489031845,0.020315329769958226,-0.003267825862800842,-0.768635862982802,0.6393555496178568,1471.0,1471.0,1472.0,1473.3580424468705,1447.1790212234353,1513.0,-1.2821340949230944,-1.2821340949230944,-1.234827073119959,-1.1706721955781954,-2.4361807020500983,0.719951438208227,-2.5642681898461888,-0.719951438208227,-4.8416799707482525,-0.1186136907691369,-0.00536925083659014,0.03599757191041135
1645468315.7068086,2.6233006144861393,-2.0720268457135727,0.007965021211094,0.01129499595863966,-0.015305941810759999,0.04152192898207554,-0.9989564958621509,-0.7060788,0.6737953406442561,9.85024374161532,-0.006554387318190745,-0.0234841823591262,0.0019303649855518731,-0.3763089623586344,0.8639758074037329,0.05099239548004081,0.019132262318185277,-0.003289662035426611,-0.7689417646414104,0.6390240193079089,1471.0,1471.0,1472.0,1474.6548469277186,1446.1725765361407,1512.1725765361407,-1.2821340949230944,-1.2821340949230944,-1.234827073119959,-1.1094714939540296,-2.486607635385252,0.679067665339015,-2.5642681898461888,-0.679067665339015,-4.830906202459241,-0.10442094983024572,-0.024904086954471105,0.03395338326695074
1645468315.8068085,2.623401964587976,-2.0715169102404714,0.00793751535082423,0.011433246386016251,-0.015285862473110413,0.04157700994909053,-0.9989529395968677,-0.6955424040845146,0.6500212860563443,9.89490985,-0.0006226557059977869,-0.026372637873633815,-0.005762911019077434,-0.37489931826755823,0.8214337153071711,0.09500706783385719,0.018165592608029534,-0.003712593876417216,-0.7695067313342495,0.6383694998378189,1471.0,1471.0,1472.0,1475.0,1446.0,1512.0,-1.2821340949230944,-1.2821340949230944,-1.234827073119959,-1.0931825232546544,-2.495259656174312,0.6705404961030581,-2.5642681898461888,-0.6705404961030581,-4.823269252548926,-0.10105546358352513,-0.02926876046494727,0.0335270248051529
1645468315.9068084,2.6229047953441924,-2.066224482184673,0.007449725723759084,0.012266313060049341,-0.016657883195003713,0.04278417325858709,-0.9988701452190638,-0.674800782804407,0.6411483843911873,9.87632917804407,0.0025537925343084265,-0.01799978157057983,-0.013476662493931403,-0.3600992250011851,0.7974997918355354,0.07597920405678456,0.017446810469994866,-0.004088731197996753,-0.7702988178403641,0.6374312686991062,1471.585231152145,1471.585231152145,1472.0,1475.585231152145,1446.0,1512.0,-1.2544485520486954,-1.2544485520486954,-1.234827073119959,-1.065595129175776,-2.495259656174312,0.6705404961030581,-2.508897104097391,-0.6705404961030581,-4.795681858470047,-0.0978829132644541,-0.034096554428751,0.03352702480515291
1645468316.0068083,2.622544217398058,-2.0628596228447007,0.006842673938000176,0.01192435889517429,-0.015979804737753595,0.04282204343046683,-0.9988837410339211,-0.6661739245510682,0.6568194581836907,9.79729553363262,-0.0026443633931945384,-0.01250446064936742,-0.02025992709365334,-0.3573913761148417,0.8008110201601969,-0.003433981493954945,0.0168192392584331,-0.004354494537234723,-0.7713343176727473,0.6361929911185836,1472.0,1472.0,1472.0,1476.0,1445.580604448414,1512.0,-1.234827073119959,-1.234827073119959,-1.234827073119959,-1.046043210903008,-2.5163593708600094,0.6705404961030581,-2.469654146239918,-0.6705404961030581,-4.797229654882977,-0.0956344426630858,-0.0412105901964824,0.03352702480515292
1645468316.1068082,2.620998637465485,-2.0611819516538215,0.006299039113637538,0.011781479559059362,-0.015579824202940589,0.04288391292991764,-0.9988891008660692,-0.637816164072342,0.6468549859276593,9.817416435180855,-0.0026589086361209317,-0.018719958650470245,-0.02384745054365501,-0.3367318767093714,0.7780835659931181,0.01626841971272442,0.01611049669036205,-0.00457734937249501,-0.7725039157769695,0.634789098739385,1472.0,1472.0,1472.350080325732,1475.649919674268,1444.649919674268,1512.0,-1.234827073119959,-1.234827073119959,-1.2182831127263025,-1.0625457567258554,-2.5632450006859697,0.6705404961030581,-2.469654146239918,-0.6705404961030581,-4.844073870138128,-0.09943479087798375,-0.049422822965917025,0.03352702480515292
1645468316.206808,2.6208115810505457,-2.058366788587214,0.005631888799414857,0.012032734034437102,-0.01587946101101202,0.043328934758923146,-0.9988621824067189,-0.6500688713743028,0.6346022786256985,9.848048203435757,-0.0003735051505483248,-0.017456315223875977,-0.02712989361669752,-0.3588532813399244,0.7564628149621643,0.04648614000326054,0.015427360876333764,-0.004597332914875794,-0.7737572934105055,0.6332775947090741,1472.206036519193,1472.206036519193,1472.793963480807,1475.206036519193,1444.206036519193,1512.0,-1.2250902791254668,-1.2250902791254668,-1.1973062545677784,-1.0834701034205652,-2.585656621779463,0.6705404961030581,-2.4501805582509335,-0.6705404961030581,-4.866432979767807,-0.10425342943610565,-0.05335404616344591,0.03352702480515291
1645468316.306808,2.620765216872209,-2.058155706428257,0.0056051310666730015,0.011997292772910562,-0.015918100280257932,0.043372002560966835,-0.998860124563715,-0.6444925143979162,0.6150725643979175,9.840383828795833,-0.004946675477230561,-0.014621722392737435,-0.030574249446389704,-0.3643843275050398,0.7295745967591505,0.03840612579927637,0.014760518328188659,-0.0044975497866203695,-0.7750920657727036,0.631659867904241,1473.0,1473.0,1471.8166554228342,1476.0,1445.0,1512.1833445771658,-1.187569460573286,-1.187569460573286,-1.2435005590294264,-1.046043210903008,-2.545569476118544,0.6795997243906922,-2.375138921146572,-0.6795997243906922,-4.8351132460509785,-0.09622235673383302,-0.0448044985825692,0.0339799862195346
1645468316.406808,2.6182679028073914,-2.0545136045433816,0.004835330957374334,0.012594406889735645,-0.01495307112787979,0.04338826382348046,-0.9988669807043,-0.6276256,0.5982056500000011,9.796259693612283,-0.007826785578808063,-0.00988798034546595,-0.03348153747384084,-0.35947368850530137,0.7068185845654065,-0.006118850018000084,0.014108088653061256,-0.004312882856625145,-0.7765487941648793,0.629884379197559,1473.0157291036494,1473.0157291036494,1471.0314582072988,1475.9842708963506,1445.0157291036494,1512.9842708963506,-1.1868268394695098,-1.1868268394695098,-1.2806466779878363,-1.0467846700329497,-2.5447781477460576,0.7191742483784391,-2.3736536789390197,-0.7191742483784391,-4.872209495766843,-0.09896136255141486,-0.038035689951922476,0.03595871241892195
1645468316.5068078,2.6174117094085436,-2.0523292925982117,0.004390870869140126,0.012943149141740789,-0.014523894871964904,0.04379965722917033,-0.9988509004824745,-0.6332314836263125,0.6019429057508762,9.782835933626313,0.00035402373633208533,-0.00718881103073434,-0.031823248680429995,-0.3746348656694791,0.7040022709118462,-0.019872251178449974,0.01352861577546209,-0.0042347122108104835,-0.7779670872590113,0.6281450906513728,1473.8559300643828,1473.8559300643828,1472.7118601287655,1475.1440699356172,1445.8559300643828,1512.1440699356172,-1.147158274829057,-1.147158274829057,-1.2011933813557312,-1.0863911655591114,-2.502507788694593,0.6776591273509373,-2.294316549658114,-0.6776591273509373,-4.790092335609436,-0.10538809246980273,-0.037611567311456255,0.03388295636754687
1645468316.6068077,2.616379406966956,-2.050765411705465,0.004215777986320644,0.012034328318836812,-0.014450549855416564,0.04377306601064026,-0.9988644929332601,-0.6567940153071894,0.6190766234640543,9.80715306938562,-0.00372629455027299,-0.010327617827671392,-0.01835396263270893,-0.4034259788375425,0.7178369823599385,0.004274327849431459,0.013223562780491416,-0.00417236485704868,-0.7791859506717559,0.6266394362268002,1473.412550269881,1473.412550269881,1472.412550269881,1475.0,1446.587449730119,1512.587449730119,-1.1680916477486882,-1.1680916477486882,-1.215330932309897,-1.0931825232546544,-2.465808217460914,0.6995669407076647,-2.3361832954973765,-0.6995669407076647,-4.774321673025466,-0.10837714758248841,-0.02752658333186353,0.03497834703538323
1645468316.7068076,2.616343283648037,-2.0505226794710305,0.004177465281834958,0.011965173438653675,-0.014423145933907039,0.043785245254416606,-0.9988651859905634,-0.648602292641954,0.6600352367902313,9.823536514716093,0.0018282454887958038,-0.00662371152672913,-0.009434573369067093,-0.4045732686713738,0.7550430494216406,0.020384461254309226,0.012736971241792117,-0.0040087455488373,-0.7798964383107448,0.6257661264665298,1472.649156112657,1472.649156112657,1472.350843887343,1475.0,1447.350843887343,1512.649156112657,-1.2041495050657096,-1.2041495050657096,-1.2182470286275355,-1.0931825232546544,-2.4275958125565613,0.7026159112027701,-2.4082990101314192,-0.7026159112027701,-4.739025364438751,-0.10857536634260345,-0.020329095618014985,0.035130795560138504
1645468316.8068075,2.6163310959477,-2.05040274543438,0.004158802865693773,0.01190543579849984,-0.014414498099334233,0.043846212596594526,-0.9988633502556425,-0.6181612068455905,0.6261434295838278,9.8262633,0.0022440352526493725,-0.007732049838074331,-0.015422694759487723,-0.37627444076512845,0.7223003276439534,0.02306859267534231,0.012693199167282336,-0.003878858749790531,-0.7806709274941899,0.6248013605259357,1472.1896541734347,1472.1896541734347,1473.0,1475.1896541734347,1448.3793083468695,1512.0,-1.2258644696739203,-1.2258644696739203,-1.187569460573286,-1.0842423559343204,-2.376303535534644,0.6705404961030581,-2.4517289393478405,-0.6705404961030581,-4.64811535204225,-0.1054619697845541,-0.018286050829731504,0.03352702480515291
1645468316.9068074,2.616151569295561,-2.048197250008743,0.003835893049060861,0.011844605242351012,-0.014524822161940369,0.04406098683736228,-0.9988530243768273,-0.5947063803744598,0.6052041892510817,9.808766951872299,-0.0010532624449001938,-0.005524981802012439,-0.024158520039888026,-0.3556378075055891,0.7034263614210416,0.005524068317184959,0.01265209508888351,-0.0036885438988177068,-0.781580658497977,0.6236649688700153,1473.0,1473.0,1472.9725207538481,1475.945041507696,1450.0,1512.0274792461519,-1.187569460573286,-1.187569460573286,-1.1888680641410097,-1.0486348627817363,-2.295727662538411,0.6718982715437659,-2.375138921146572,-0.6718982715437659,-4.533230589461157,-0.10145537936384258,-0.01018932873274139,0.03359491357718829
1645468317.0068073,2.6163046675300947,-2.0478452376623997,0.0038268529327801434,0.011899440139134732,-0.0146058785332163,0.04415739160633341,-0.9988469334203179,-0.5996568537337552,0.6159426410443753,9.780982667911251,-0.008410566866065058,0.0018168818249853001,-0.02962132049214871,-0.3687066352550633,0.7188698887044761,-0.022401931479470075,0.012483589259322298,-0.0032203609829777346,-0.7827046046638706,0.6222598260472212,1473.0,1473.0,1472.1399252027743,1474.2798504055486,1450.0,1512.8600747972257,-1.187569460573286,-1.187569460573286,-1.2282145421017354,-1.1271594996014276,-2.295727662538411,0.7130376021148908,-2.375138921146572,-0.7130376021148908,-4.651101704241574,-0.1131602504825705,0.010438116353831592,0.03565188010574453
1645468317.1068072,2.618303009684549,-2.045552850190967,0.004200555007734302,0.010969425598457537,-0.015907644110646452,0.04356685850162285,-0.9988636280299672,-0.6485993232910421,0.6074681306835843,9.8001083658985,-0.016800641128730524,0.006048214193598613,-0.024677414213644916,-0.43420469019403013,0.7235873893974392,-0.0035092957742958843,0.01224622423414803,-0.0021433278181168455,-0.7839829347266792,0.6206578720963866,1473.0,1473.0,1471.411627134477,1473.411627134477,1450.588372865523,1513.0,-1.187569460573286,-1.187569460573286,-1.262661241097634,-1.1681352319126699,-2.266615138878733,0.719951438208227,-2.375138921146572,-0.719951438208227,-4.697411611889037,-0.11512101063016884,0.028731733473024917,0.03599757191041134
1645468317.2068071,2.618381151950152,-2.0454954358033297,0.004209680777015317,0.010917276229236304,-0.01595041961594261,0.04359389732167152,-0.9988623375170963,-0.6890848022864848,0.5912739390854073,9.897273515487564,-0.009487447725670117,-0.02274585567437934,-0.008314741943678101,-0.49370386877193956,0.700442432480203,0.09318163965121853,0.01126835710110174,-0.001804352092719592,-0.7848316931377464,0.6196038911177898,1472.6488174054837,1472.6488174054837,1471.0,1474.0535477835492,1450.6488174054837,1512.6488174054837,-1.2041655115580783,-1.2041655115580783,-1.2821340949230944,-1.1378679050218998,-2.2636243600668426,0.7025991753622334,-2.4083310231161565,-0.7025991753622334,-4.683626360011837,-0.10636424384975346,0.027366086978676565,0.03512995876811167
1645468317.306807,2.6203193427885285,-2.04452820273075,0.004207884420400917,0.008533077361050178,-0.0174751158507552,0.043177441673512354,-0.9988781284257272,-0.6267524617294691,0.5246726190853479,9.833416847017714,0.004937258973977185,-0.015429088240339736,-0.013995999548680436,-0.4346077195406273,0.6190160504881919,0.029109836939223824,0.010673922958059091,-0.0022812744830434314,-0.785659664467231,0.6185626522710989,1472.1904702096865,1472.1904702096865,1471.380940419373,1475.8095297903135,1449.8095297903135,1512.0,-1.2258259057489116,-1.2258259057489116,-1.2641223491895603,-1.055021845611103,-2.3051819003382765,0.6705404961030581,-2.451651811497823,-0.6705404961030581,-4.624326095138939,-0.09329802890651254,0.00244340153091772,0.03352702480515291
1645468317.406807,2.6211538390929534,-2.0441872321257826,0.004372050047686322,0.007507561131783795,-0.017744068722554174,0.043838658640123374,-0.998852820269161,-0.5820942938958096,0.5050394572706686,9.791237825583238,0.01258378232984682,-0.009666626514348197,-0.023121434671156696,-0.38771247184661695,0.5869768533287948,-0.013141901853949749,0.010376522078096782,-0.0028322975552542845,-0.7866284087180885,0.617333015865642,1473.026551151444,1473.026551151444,1473.0,1475.0531023028877,1449.026551151444,1512.0,-1.1863158961088864,-1.1863158961088864,-1.187569460573286,-1.090680098741691,-2.3440460684214264,0.6705404961030581,-2.372631792217773,-0.6705404961030581,-4.622295627736404,-0.1062023102074017,-0.01151438909362868,0.0335270248051529
1645468317.5068069,2.622356274438064,-2.043565121688629,0.004423889865050583,0.007196873180787169,-0.018655823003350697,0.04401645036859093,-0.998830675030276,-0.592105604724806,0.5547323070872102,9.818309952362403,0.0071534954470987,-0.012805240708987607,-0.026530934625352977,-0.3948390009705293,0.6307498203838469,0.013939182928736915,0.01031154939324745,-0.0031411777886611917,-0.7877931633693792,0.6158455461393525,1473.8597983979912,1473.8597983979912,1473.0,1476.7195967959822,1449.8597983979912,1512.0,-1.1469756384730347,-1.1469756384730347,-1.187569460573286,-1.0121472208163427,-2.302686752295784,0.6705404961030581,-2.2939512769460695,-0.6705404961030581,-4.502403433685413,-0.09717102924598665,-0.018019762408577198,0.03352702480515291
1645468317.6068068,2.622865352437972,-2.043418737870882,0.004420456576021682,0.006451697174490539,-0.01913575272313976,0.043863105489909,-0.9988334328345586,-0.6080123,0.5777943908324534,9.826795272778366,-0.004888966924865382,-0.004656808501212844,-0.0165022028733909,-0.41529278358910326,0.6511605057366235,0.022314107103645082,0.010051465653502534,-0.003085838978636656,-0.7889574381039052,0.6143578814473997,1473.4074273503693,1473.4074273503693,1471.8148547007386,1476.4074273503693,1450.0,1512.5925726496307,-1.1683335171029217,-1.1683335171029217,-1.2436058765113123,-1.026849358340798,-2.295727662538411,0.6998200689870683,-2.3366670342058433,-0.6998200689870683,-4.566182897390521,-0.09754151248312778,-0.004422674845102607,0.03499100344935341
1645468317.7068067,2.624469429876291,-2.042617704817548,0.0041883780393386335,0.006191839666983748,-0.01951542204065386,0.043413978532699696,-0.9988473536492329,-0.6080123,0.5532715293403273,9.84314384710645,-0.002344962885462189,-0.016403511964712035,-0.013065731177597104,-0.42723648702502803,0.615783368271409,0.03836176757716399,0.009234897081231283,-0.003136658178358019,-0.7897484627947757,0.6133532779440083,1473.0,1473.0,1471.3565725382891,1475.6434274617109,1449.6434274617109,1512.6434274617109,-1.187569460573286,-1.187569460573286,-1.2652657100798532,-1.0628517951614367,-2.313426606512041,0.7023328531625317,-2.375138921146572,-0.7023328531625317,-4.641544111753331,-0.09963064908782515,0.0025709072776186007,0.03511664265812658
1645468317.8068066,2.624970422983797,-2.0425680935151846,0.004029288408881822,0.005694168637223695,-0.01964578961677266,0.043018726742203625,-0.9988648600002625,-0.5614117483420026,0.5491724000000012,9.793450979384753,-0.002053764953094715,-0.006449299605334842,-0.017384322936153922,-0.38570032534703086,0.6117591711607616,-0.011424529252328272,0.009037542210488607,-0.002961631557141859,-0.7906649852803821,0.6121751649821208,1473.2276628037955,1473.2276628037955,1472.2276628037955,1474.7723371962045,1449.0,1512.0,-1.1768207741629506,-1.1768207741629506,-1.224068272546906,-1.1039222316359407,-2.3453639695253514,0.6705404961030581,-2.3536415483259012,-0.6705404961030581,-4.673354473708198,-0.10352779211327413,-0.0030403564349383207,0.0335270248051529
1645468317.9068065,2.6258058943280522,-2.042329709158007,0.003855642508608241,0.005087684593211848,-0.020149909093761638,0.04292618157370858,-0.9988620723425704,-0.5676695628215883,0.557641391738132,9.81266519629785,-0.00013990945572906876,-0.006426990038526138,-0.0156659614716964,-0.39679085830945643,0.619722634956404,0.007701325461728484,0.008831043142851377,-0.0028187222042792906,-0.7915321395188021,0.6110572310274481,1473.7717594081698,1473.7717594081698,1472.7717594081698,1474.4564811836603,1449.2282405918302,1512.0,-1.1511322397170494,-1.1511322397170494,-1.1983555660294196,-1.1188302047328007,-2.334034949442388,0.6705404961030581,-2.3022644794340987,-0.6705404961030581,-4.651220720204608,-0.10819917026892398,-0.002948606269029389,0.03352702480515291
1645468318.0068064,2.627032276226554,-2.0416759158334234,0.003524359676451712,0.004757002550536115,-0.020958859115367733,0.04329857411254155,-0.9988309820140429,-0.6008465656683168,0.5390840274195557,9.838429143087872,0.002969600907227699,-0.011526278114685911,-0.007428840942976322,-0.4338085397842699,0.5969609876778444,0.03337288299528598,0.008548274528713573,-0.0028590577321754456,-0.792219449625133,0.6101697275571093,1473.0,1473.0,1472.4514712486114,1475.7742643756942,1449.7742643756942,1512.0,-1.187569460573286,-1.187569460573286,-1.21350164832283,-1.05668423300605,-2.306932345284339,0.6705404961030581,-2.375138921146572,-0.6705404961030581,-4.577118226613219,-0.09931058405660548,-0.0064306311922053706,0.0335270248051529
1645468318.1068063,2.6271993786053955,-2.041624802549964,0.0032051393962353484,0.004165697312205596,-0.020997419865607946,0.043266685094578025,-0.9988341950923673,-0.5743608306088549,0.5128337081734364,9.828008282693741,0.00534743518611835,-0.009198463046755864,-0.010730764139505081,-0.4066145576337493,0.5640489175014134,0.022928107626964456,0.00837313829538056,-0.003141142118096738,-0.7928814001992694,0.6093103552372358,1473.2197308129448,1473.2197308129448,1473.7802691870552,1475.2197308129448,1449.0,1512.0,-1.1771952687261396,-1.1771952687261396,-1.1507304659396291,-1.0828245638299632,-2.3453639695253514,0.6705404961030581,-2.354390537452279,-0.6705404961030581,-4.5789189992949435,-0.1095354080754236,-0.01956656445725784,0.0335270248051529
