CIRCLE
posix_time: time in seconds since the 1970 epoch.
x_mocap: x position in m from the ASTA mocap frame.
y_mocap: y position in m from the ASTA mocap frame.
z_mocap: z position in m from the ASTA mocap frame.
qx_mocap: quaternion i component from the ASTA mocap frame.
qy_mocap: quaternion j component from the ASTA mocap frame.
qz_mocap: quaternion k component from the ASTA mocap frame.
qw_mocap: quaternion scalar component from the ASTA mocap frame.
ax: x dir body-fixed acceleration in m/s/s measured by IMU.
ay: y dir body-fixed acceleration in m/s/s measured by IMU.
az: z dir body-fixed acceleration in m/s/s measured by IMU.
wx: angular velocity in rad/s around body-fixed x axis measured by IMU.
wy: angular velocity in rad/s around body-fixed y axis measured by IMU.
wz: angular velocity in rad/s around body-fixed z axis measured by IMU.
ax_c: x dir gravity compensated acceleration in m/s/s measured by IMU.
ay_c: y dir gravity compensated acceleration in m/s/s measured by IMU.
az_c: z dir gravity compensated acceleration in m/s/s measured by IMU.
qx: quaternion i component from the NED frame to body fixed frame measured by IMU.
qy: quaternion j component from the NED frame to body fixed frame measured by IMU.
qz: quaternion k component from the NED frame to body fixed frame measured by IMU.
qw: quaternion scalar component from the NED frame to body fixed frame measured by IMU.
pwm0: Motor pulse width modulation for motor0 in microseconds.
pwm1: Motor pulse width modulation for motor1 in microseconds.
pwm2: Motor pulse width modulation for motor2 in microseconds.
pwm3: Motor pulse width modulation for motor3 in microseconds.
pwm4: Motor pulse width modulation for motor4 in microseconds.
pwm5: Motor pulse width modulation for motor5 in microseconds.
N0: Motor thrust in N for motor0.
N1: Motor thrust in N for motor1.
N2: Motor thrust in N for motor2.
N3: Motor thrust in N for motor3.
N4: Motor thrust in N for motor4.
N5: Motor thrust in N for motor5.
Fx: Body fixed surge force (N).
Fy: Body fixed sway force (N).
Fz: Body fixed heart force (N).
Mx: Body fixed roll moment (Nm).
My: Body fixed pitch moment (Nm).
Mz: Body fixed yaw moment (Nm).
posix,x_mocap,y_mocap,z_mocap,qx_mocap,qy_mocap,qz_mocap,qw_mocap,ax,ay,az,wx,wy,wz,ax_c,ay_c,az_c,qx,qy,qz,qw,pwm0,pwm1,pwm2,pwm3,pwm4,pwm5,N0,N1,N2,N3,N4,N5,Fx,Fy,Fz,Mx,My,Mz
1645468288.106835,2.6000901346745424,-1.3159496230377148,-0.09191032700232309,-0.019256957326040654,-0.012870579487340349,0.6894742041293215,0.7239398038638585,-0.4048922933951783,0.4903325000000011,9.854335530185535,-0.0022503620090369054,0.002266951871223559,0.11813912654655426,-0.39116115988324623,0.4837982213332879,0.04769763903269826,2.897960800903911e-05,0.000774347515751313,0.3953873774682463,-0.9185141377708291,1548.582013449021,1472.582013449021,1472.7089932754895,1475.1269798264686,1446.7089932754895,1512.2910067245105,2.6177117950788675,-1.2073354353330863,-1.2013217436086783,-1.0872283012518067,-2.4597147049542962,0.6849194125200598,1.4103763597457815,-0.6849194125200598,-4.748264749814782,-0.10674015131997022,-0.029953815516416963,0.47412640212337775
1645468288.2068348,2.600752183216467,-1.2924003375252535,-0.09133318605941979,-0.01947387411324148,-0.013149497550003901,0.6970314610420889,0.7166554271466413,-0.41181610861015444,0.4903325000000011,9.875106975830462,-0.018587892203976747,0.006205935666771422,0.10699898186802471,-0.4011043129837444,0.48132829501290164,0.06846696975347508,0.00020971918792603736,0.0006819363123479154,0.39001266820728236,-0.9208092145599786,1549.9936558046863,1473.9936558046863,1472.003172097657,1473.0095162929706,1446.003172097657,1512.996827902343,2.700061573268742,-1.140655944692719,-1.2346771673579313,-1.1871205254883235,-2.49510062496714,0.7197947018745523,1.5594056285760232,-0.7197947018745523,-4.916898317813395,-0.12049505901304176,-0.012828013121154887,0.47767224965929567
1645468288.3068347,2.601260540993778,-1.2809755139887027,-0.09095645059861455,-0.018687580436342104,-0.013811275491746638,0.7013372546526377,0.7124507549599675,-0.4331618780362989,0.5187092707150665,9.868202357321234,-0.019293795172472396,0.006034529540046131,0.12230670716535734,-0.4406285451727315,0.4957319345519763,0.06159233480194327,0.0012264724460946154,9.606922769775725e-05,0.3841246998591959,-0.9232804024206976,1549.1555689032073,1473.1555689032073,1471.1555689032073,1472.1555689032073,1445.1555689032073,1513.8444310967927,2.651030774752233,-1.1802245569355467,-1.2747745934271777,-1.2274752581678787,-2.5377428326092644,0.7618084238292465,1.470806217816686,-0.7618084238292465,-5.039992684204321,-0.1278770506152987,-0.006211271677486381,0.478684784335557
1645468288.4068346,2.601434942533055,-1.2741186606913804,-0.09084324279495286,-0.018376785268962748,-0.013864929345698733,0.7034925380588243,0.7103297166759751,-0.40581885306324483,0.4585983061264908,9.850284015598534,-0.004706760107540644,0.003208570856057375,0.12172689921686193,-0.41895548025791374,0.4322228363209971,0.04367853892043444,0.001498292716704237,-0.00011092642292047958,0.3782534195372065,-0.9257008660591574,1549.0,1473.0,1471.6803651063237,1472.6803651063237,1445.0,1513.3196348936763,2.641929685280047,-1.187569460573286,-1.2499480480041416,-1.2026746425350325,-2.545569476118544,0.7357951857909437,1.454360224706761,-0.7357951857909437,-4.998192166657718,-0.1233277158844676,-0.016265687476389745,0.4771821610626805
1645468288.5068345,2.601448806499184,-1.272911612582999,-0.09087059266921708,-0.01869833555426699,-0.013834654342771481,0.7037539570664968,0.7100629144660094,-0.38287819911199633,0.4195339976319914,9.842886949407998,0.010838652245607695,-0.0010765098222565075,0.11466557574613079,-0.38781023394830255,0.39872729901723153,0.036266327831003684,0.0010793842726151408,0.0001632994305751423,0.3725393481021531,-0.9280157554581231,1549.0,1473.0,1472.0,1474.542705911137,1445.5142353037124,1512.4857646962876,2.641929685280047,-1.187569460573286,-1.234827073119959,-1.1147916665908224,-2.519698390579809,0.6945425873880627,1.454360224706761,-0.6945425873880627,-4.86931713029059,-0.10774088104206027,-0.029763938902079776,0.47511953114253647
1645468288.6068344,2.6014626704653128,-1.2717045644746174,-0.09089794254348131,-0.019019881280272335,-0.013804375966478499,0.7040152044746903,0.7097959391182233,-0.39787620473052826,0.472817422634737,9.847290359461057,0.011397707097113172,-0.0017217658489443455,0.11524535243270426,-0.38791377092186113,0.4605168094447507,0.04065408328409913,0.00039724621539925076,0.0007031417248982182,0.3669908204561239,-0.9302242124821843,1549.4130305137483,1473.4130305137483,1472.4130305137483,1476.0,1445.5869694862517,1512.0,2.6660927897493085,-1.1680689739054266,-1.2153082371312898,-1.046043210903008,-2.5160391469524614,0.6705404961030581,1.498023815843882,-0.6705404961030581,-4.777390594986759,-0.09787910880178276,-0.04457034731067865,0.47445562762544746
1645468288.7068343,2.6012390307138435,-1.2443630761417837,-0.08974917220286309,-0.01851635347964321,-0.013787354476470958,0.7126814172566613,0.701107874016113,-0.38245935,0.4753172264231522,9.81124802642315,0.0022663490652387905,0.00747037748415522,0.12591915116291913,-0.36536784443468784,0.468738954640934,0.004615316787876599,-1.8098652369933978e-06,0.0009339652868016027,0.36121453066705006,-0.9324822735797985,1549.4256097232146,1473.4256097232146,1472.7128048616073,1476.0,1445.2871951383927,1512.0,2.6669239526645705,-1.1674878282932455,-1.2011416171487352,-1.046043210903008,-2.53112074041715,0.6705404961030581,1.4994361243713252,-0.6705404961030581,-4.778305568468893,-0.09950827009977652,-0.04968878466394611,0.47448437961530177
1645468288.8068342,2.601307714831951,-1.2225577713252593,-0.0885558165466874,-0.01634841195256585,-0.00988443951150664,0.7210632235951895,0.6926058437962291,-0.38245935,0.45145375603780485,9.787384556037804,0.00507425384754233,0.006179159926154372,0.133093296841362,-0.3616893136490625,0.44669237005290385,-0.019242277811254274,-0.00014899631309105849,0.001076197914359687,0.35502335764463394,-0.9348567992611907,1548.0119214538984,1472.0119214538984,1472.005960726949,1476.0,1445.994039273051,1512.0,2.5844548237519884,-1.2342639584822874,-1.2345453833952993,-1.046043210903008,-2.495559539273861,0.6705404961030581,1.3501908652697012,-0.6705404961030581,-4.7761481335721685,-0.09566683698142169,-0.037619915370721915,0.47267968476209465
1645468288.9068341,2.600399814226053,-1.2120766956171645,-0.08825095687197927,-0.018538020629693282,-0.011816715422010482,0.7240248364374482,0.6894234861458485,-0.41568178752850843,0.4760227281463825,9.861787184439144,-0.0025333764633321465,0.004386681354948919,0.1153662594566577,-0.39544326725933504,0.4786697749557499,0.055158930664846055,-0.0004867626360645444,0.0009202998151506934,0.348976871286855,-0.9371307589750879,1549.0148166376591,1473.0148166376591,1473.9555500870224,1476.0,1445.0,1512.0,2.6427964879779715,-1.1868699198964645,-1.1424569446918387,-1.046043210903008,-2.545569476118544,0.6705404961030581,1.455926568081507,-0.6705404961030581,-4.734069631713391,-0.10625700743231963,-0.06248713109164702,0.473938661710713
1645468289.006834,2.598046292078844,-1.1973813191944513,-0.08806627733530695,-0.018714310974095927,-0.014629066148591404,0.7284199703818358,0.6847190020273356,-0.3897426816716076,0.4964974841641974,9.859324915835805,-0.010653776162760635,-0.004884018638176396,0.11023073974671074,-0.36534743315255924,0.4954042183000327,0.052705830477365934,-0.00037463415464446346,0.0011870846774909556,0.3435351943256062,-0.9391389783939792,1549.847195734015,1473.847195734015,1471.4584127979551,1476.0,1445.0,1512.0,2.6914923164792333,-1.1475706503974967,-1.2604698390781142,-1.046043210903008,-2.545569476118544,0.6705404961030581,1.5439216660817365,-0.6705404961030581,-4.852082526099666,-0.09268552457789794,-0.041834874574048816,0.4750192659959768
